STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),lcstruct,Labour costs structure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2008,,63.3,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2009,,66.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2010,,69.9,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2011,,74.9,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2012,,79.3,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2013,,81.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2014,,83.2,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2015,,82.5,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2016,,88.5,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2017,,97.0,,p,provisional,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2018,,94.4,,p,provisional,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2019,,97.9,,p,provisional,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2020,,100.0,,p,provisional,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2021,,102.8,,p,provisional,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2022,,104.4,,p,provisional,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2023,,111.8,,p,provisional,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),NO,Norway,2024,,118.6,,p,provisional,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2008,,55.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2009,,58.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2010,,60.3,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2011,,63.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2012,,65.9,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2013,,68.2,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2014,,71.2,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2015,,73.8,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2016,,77.1,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2017,,82.1,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2018,,88.6,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2019,,94.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2020,,100.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2021,,108.1,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2022,,120.2,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2023,,133.8,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PL,Poland,2024,,149.4,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2008,,82.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2009,,86.5,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2010,,87.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2011,,88.2,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2012,,83.2,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2013,,81.8,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2014,,81.2,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2015,,84.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2016,,86.4,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2017,,88.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2018,,91.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2019,,92.8,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2020,,100.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2021,,102.9,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2022,,108.1,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2023,,114.5,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),PT,Portugal,2024,,123.3,,p,provisional,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2008,,35.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2009,,40.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2010,,42.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2011,,45.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2012,,49.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2013,,51.9,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2014,,54.8,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2015,,58.1,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2016,,63.6,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2017,,73.5,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2018,,82.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2019,,92.4,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2020,,100.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2021,,106.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2022,,120.6,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2023,,140.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RO,Romania,2024,,158.1,,p,provisional,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2012,,82.4,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2013,,85.6,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2014,,86.4,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2015,,86.4,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2016,,88.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2017,,92.3,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2018,,97.6,,b,break in time series,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2019,,96.2,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2020,,100.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2021,,112.5,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2022,,132.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2023,,152.4,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),RS,Serbia,2024,,175.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2008,,73.1,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2009,,76.7,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2010,,78.3,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2011,,80.5,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2012,,84.4,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2013,,85.6,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2014,,87.9,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2015,,90.4,,p,provisional,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2016,,93.4,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2017,,94.4,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2018,,97.3,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2019,,100.8,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2020,,100.0,,,,,
dataflow,ESTAT:LC_LCI_R2_A(1.0),"Labour cost index by NACE Rev. 2 activity - nominal value, annual data",A,Annual,I20,"Index, 2020=100",C,Manufacturing,D1_D4_MD5,Labour cost for LCI (compensation of employees plus taxes minus subsidies),SE,Sweden,2021,,104.8,,,,,
